resourceId,oper_inst_nm,charging_station,charger_id,charger_type,fclt_se_l,fclt_se_s,region,sgg,address,utztn_psblty_tm,utztn_user_lmt,charging_capacity,con_pvsn,remark,lat,lon,charger_count
106,서울시,이문동 거주자우선주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"동대문구 ",서울특별시 동대문구 이문동 209-1 이문고가 인근이문고가차도 인근(가로공원 인근 주차장),24시간 이용가능,,급속(50kW단독),,,37.604954230638945,127.06702746123929,1
107,서울시,자양우성1차아파트 앞 전기차 충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"광진구 ",서울특별시 광진구 자양번영로 45 노상공영주차장 유료 42번노상공영주차장 유료 42번,24시간 이용가능,,급속(50kW단독),,,37.533727119,127.07563964,1
108,서울시,자양한양아파트 앞 전기차 충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"광진구 ",서울특별시 광진구 구의강변로 11 정문 앞 유료 48번정문 앞 유료 48번,24시간 이용가능,,급속(50kW단독),,,37.533631561,127.091061769,1
109,서울시,잠실 청소년센터 앞 전기차 충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"송파구 ",서울특별시 송파구 올림픽로8길 20 잠실 청소년센터잠실 청소년센터,24시간 이용가능,,급속(50kW단독),,,37.509963356,127.080060948,1
110,서울시,적선동 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"종로구 ",서울특별시 종로구 새문안로5길 49-1 (서울특별시 종로구 새문안로 5길 47 전기차충전소)서울특별시 종로구 적선동 172 적선동공영주차장,"주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW동시),,,37.574784888,126.974336709,2
111,서울시,정릉천변 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"동대문구 ",서울특별시 동대문구 정릉천동로 125-1 빌라 앞 공영주차장,24시간 이용가능,,급속(50kW단독),,,37.583574369,127.035953626,1
112,서울시,중곡동 복개천 노상공영주차장(중곡동우체국 앞),01,DC콤보,주차시설,공영주차장,서울특별시,"광진구 ",서울특별시 광진구 긴고랑로 66 중곡동우체국 앞,24시간 이용가능,,급속(50kW단독),,,37.561611636,127.083111595,1
113,서울시,중랑구시설관리공단 복합청사 주차장,01,AC완속,공공시설,관공서,서울특별시,"중랑구 ",서울특별시 중랑구 봉화산로 190 지하1층지하1층,09:00~18:00,,완속(7kW단독),,,37.606252276,127.094167849,1
114,서울시,중랑구청,01,DC콤보,공공시설,관공서,서울특별시,"중랑구 ","서울특별시 중랑구 봉화산로 179 (신내동, 중랑구청) 지하1층 19번 기둥","주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW동시),,,37.606512215,127.092603322,2
115,서울시,중랑천환경센터,01,DC콤보,공공시설,지자체시설,서울특별시,"노원구 ",서울특별시 노원구 덕릉로 430 본관 주차장환경센터 주차장,24시간 이용가능,,급속(100kW단독),,,37.643391345,127.055998377,2
116,서울시,중랑초교 공영주차장,01,AC완속,공공시설,지자체시설,서울특별시,"중랑구 ",서울특별시 중랑구 봉우재로6길 26 중랑초교 공영주차장,24시간 이용가능,,완속(7kW단독),,,37.588686091,127.075881638,4
117,서울시,중랑캠핑숲 제1주차장,01,AC완속,주차시설,공영주차장,서울특별시,"중랑구 ",서울특별시 중랑구 송림길 160 주차장 입구 좌측입구 좌측,24시간 이용가능,,완속(7kW단독),,,37.606402479,127.10944583,5
118,서울시,창2동 제4공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"도봉구 ",서울특별시 도봉구 덕릉로59길 63 지상 48-638 구획지상 48-638 구획,24시간 이용가능,,급속(50kW단독),,,37.641354734,127.036140483,1
119,서울시,창3동 제1공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"도봉구 ",서울특별시 도봉구 우이천로4길 24-11 지하지하주차장 램프 밑,24시간 이용가능,,급속(50kW단독),,,37.633109575,127.041196902,1
120,서울시,창작연극지원센터,01,DC콤보,공공시설,지자체시설,서울특별시,"성북구 ",서울특별시 성북구 동소문로 1 1-4,24시간 이용가능,,급속(100kW단독),,,37.588802708,127.0063328,2
121,서울시,천호역 공영주차장,01,DC차데모+AC3상+DC콤보,주차시설,공영주차장,서울특별시,"강동구 ","서울특별시 강동구 천호대로 지하997 (천호동, 천호역공영주차장) 지하1층 A37번 기둥지하1층 A35구역",24시간 이용가능,,급속(50kW단독),,,37.538640719,127.125616693,1
122,서울시,청계3 노상공영주차장(고려상사 앞),01,DC콤보,주차시설,공영주차장,서울특별시,"중구 ",서울특별시 중구 동호로 377 고려상사 앞,24시간 이용가능,,급속(50kW단독),,,37.568246435,127.001860907,1
123,서울시,청계3 노상공영주차장(코리아몰 앞),01,DC콤보,주차시설,공영주차장,서울특별시,"중구 ",서울특별시 중구 동호로 지하384 코리아몰 앞,24시간 이용가능,,급속(50kW단독),,,37.568965945,127.002091083,1
124,서울시,청계8 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"성동구 ","서울특별시 성동구 청계천로 494 ",24시간 이용가능,,급속(50kW단독),,,37.569661423,127.032287853,2
125,서울시,청계8가 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"중구 ",서울특별시 중구 흥인동 163-1 노상공영주차장,24시간 이용가능,,급속(50kW단독),,,37.56986072751084,127.01667705825487,2
126,서울시,청기와2 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"마포구 ",서울특별시 마포구 동교로 95 유료 19번 구획유료 19,24시간 이용가능,,급속(50kW단독),,,37.554527514,126.912533837,1
127,서울시,청소년미래진로센터(하자센터),01,DC콤보,공공시설,공공기관,서울특별시,"영등포구 ",서울특별시 영등포구 영신로 200 하자센터 신관 입구하자센터 신관 입구,24시간 이용가능,,급속(100kW동시),,9월 28일 행사로 충전소 사용 불가,37.525139307,126.903275896,2
128,서울시,초안산근린공원 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"도봉구 ",서울특별시 도봉구 덕릉로60길 135-70 공원 계단 입구 인근공원 계단 입구 인근,24시간 이용가능,,급속(50kW단독),,,37.634706176,127.043478927,1
129,서울시,하월곡동 거주자우선주차장,01,DC콤보,공공시설,지자체시설,서울특별시,"성북구 ",서울특별시 성북구 월곡로14길 24 하월곡동 거주자우선주차장,24시간 이용가능,,급속(100kW단독),,,37.59990467,127.041481039,1
130,서울시,하이서울유스호스텔(지하주차장),01,AC3상,공공시설,지자체시설,서울특별시,"영등포구 ",서울특별시 영등포구 영신로 200 지하주차장 진입 후 우측지하주차장 진입 후 우측,24시간 이용가능,,완속(7kW단독),,,37.525139307,126.903275896,1
131,서울시,한남동 공영주차장,01,DC콤보,공공시설,주민센터,서울특별시,"용산구 ",서울특별시 용산구 이태원로 224-19 한남동 공영주차장,24시간 이용가능,,급속(50kW단독),,,37.534814584,127.000263398,1
132,서울시,한마음공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"양천구 ",서울특별시 양천구 목동동로 316-6 목동한마음공영주차장,24시간 이용가능,,급속(200kW동시),,,37.529772186,126.87761518399999,11
133,서울시,한화꿈에그린아파트 거주자우선주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"광진구 ",서울특별시 광진구 자양동 97-1 신양중학교 정문 앞신양중학교 정문 앞,24시간 이용가능,,급속(50kW단독),,,37.532957586835565,127.06154758159902,1
134,서울시,홍제1동 공용주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"서대문구 ","서울특별시 서대문구 홍제내2바길 18 (홍제동, 홍제1동제1공영주차장) 지상 1층 마을버스정류장 옆",24시간 이용가능,,급속(100kW동시),,,37.584942682,126.937520065,2
135,서울시,홍제동 주영빌딩 앞전기차 충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"서대문구 ",서울특별시 서대문구 홍제내길 128 주영빌딩 앞 공영주차장,24시간 이용가능,,급속(50kW단독),,,37.588049375,126.936749694,1
136,서울시,화창운수 앞 가로등형 충전소,01,DC콤보,기타시설,기타,서울특별시,"마포구 ",서울특별시 마포구 토정로 272 전기차충전소화창운수 앞,"주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),,,37.542303637,126.939843063,1
137,서울시,훈련원공원 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"중구 ",서울특별시 중구 을지로 227 지하주차장 출구 인근,24시간 이용가능,,급속(50kW단독),,,37.567040544,127.004098748,1
138,서울시,휘경동 노외공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"동대문구 ","서울특별시 동대문구 휘경로14길 14 ",24시간 이용가능,,급속(50kW단독),,,37.594577055,127.063019987,1
