resourceId,oper_inst_nm,charging_station,charger_id,charger_type,fclt_se_l,fclt_se_s,region,sgg,address,utztn_psblty_tm,utztn_user_lmt,charging_capacity,con_pvsn,remark,lat,lon,charger_count
22,서울시,복정역 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"송파구 ","서울특별시 송파구 송파대로 지하6 (장지동, 복정역공영주차장) 지상1층 정면 직진 20M 후 좌측 지점","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW동시),,,37.504111641,127.107704543,2
23,서울시,본관청사_증설,01,DC콤보,공공시설,관공서,서울특별시,"중구 ",서울특별시 중구 세종대로 110 지하3층,24시간 이용가능,,급속(100kW동시),,,37.566700969,126.97834678,4
24,서울시,봉화산역(남)환승공영주차장,01,AC완속,주차시설,공영주차장,서울특별시,"중랑구 ",서울특별시 중랑구 신내동 647 봉화산역(남)환승공영주차장,24시간 이용가능,,완속(7kW단독),,,37.61642215143049,127.0919550281782,2
25,서울시,북가좌동 공영주차장 전기차 충전소,01,AC완속,주차시설,공영주차장,서울특별시,"서대문구 ",서울특별시 서대문구 거북골로14길 86 거주자우선공영주차장거주자우선공영주차장,24시간 이용가능,,완속(7kW단독),,,37.578875931,126.91328692,1
26,서울시,사당5동 주민센터 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"동작구 ",서울특별시 동작구 사당로2가길 219 거주자주차장 14번거주자주차장 14번 구획,24시간 이용가능,,급속(50kW단독),,,37.485668929,126.966995443,1
27,서울시,사당종합체육관,01,AC완속,공공시설,지자체시설,서울특별시,"동작구 ",서울특별시 동작구 사당로27길 232 사당종합체육관 지하주차장,24시간 이용가능,,완속(7kW단독),,,37.49279621,126.969746091,1
28,서울시,삼전동 공영주차장,01,AC완속,주차시설,공영주차장,서울특별시,"송파구 ",서울특별시 송파구 백제고분로32길 25-17 삼전동 공영주차장 지상 3층,24시간 이용가능,,완속(7kW단독),,,37.50024913,127.09588065500002,3
29,서울시,서대문구청 주차장,01,DC콤보,공공시설,관공서,서울특별시,"서대문구 ",서울특별시 서대문구 연희로 248 전기차 충전소,평일 09:00~18:00,,급속(50kW단독),,,37.579158081,126.936788798,1
30,서울시,서소문청사(지상),01,DC콤보,공공시설,관공서,서울특별시,"중구 ",서울특별시 중구 덕수궁길 15 지상1층 진입로 오른쪽 5M지점,평일 09:00~18:00,,급속(120kW동시),,,37.564339303,126.975618059,2
31,서울시,서소문청사(지하주차장),01,DC콤보,공공시설,관공서,서울특별시,"중구 ","서울특별시 중구 덕수궁길 15 (서소문동, 서소문별관) 지하 진입로 직진 20M 지점지하주차장","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW동시),,,37.564339303,126.975618059,5
32,서울시,서소문청사(후생동),01,AC완속,공공시설,관공서,서울특별시,"중구 ","서울특별시 중구 덕수궁길 15 (서소문동, 서소문청사후생동) 지상1층 주차장","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),,,37.564339303,126.975618059,1
