resourceId,name,address,code,lat,lon,total_parking,basic_fee,add_fee,add_unit_min,daily_max_fee,prk_hm,last_sync,pklt_knd,pklt_knd_nm
2894768,공유) 01-51구역(구),금천구 가산동 2-240,2894768,37.485160105426786,126.88189627691696,1,100,,,,5,2023-09-27T05:03:10.000Z,NS,노상 주차장
2895777,공유) 02-03구역(구),금천구 독산동 144-82,2895777,37.47512253719185,126.89753784659348,1,100,0,0,,5,2023-10-13T10:53:48.000Z,NS,노상 주차장
2895971,공유) 09-50구역(구),금천구 시흥동 978-9,2895971,37.43414886257146,126.90539159422832,1,100,,,,5,2023-10-27T06:49:04.000Z,NS,노상 주차장
2897153,공유) 04-13구역(구),금천구 독산동 885-7,2897153,37.477005816195124,126.9048516694979,1,100,0,0,0,5,2023-10-23T09:11:45.000Z,NS,노상 주차장
2897687,공유) 11-26구역(구),"금천구 시흥동 926-1 ",2897687,37.44892743581183,126.90875752173464,1,100,0,0,0,5,2023-11-30T08:11:19.000Z,NS,노상 주차장
2898010,공유) 용신동 B 98구간(구),동대문구 용두동 52-42,2898010,37.57733599567529,127.03684360665014,26,1000,1000,60,,60,2023-07-21T07:10:11.000Z,NW,노외 주차장
2899032,공유) 06-04구역(구),금천구 독산동 997-17,2899032,37.47496808039301,126.90317523346967,1,100,,,,5,2023-10-26T06:54:13.000Z,NS,노상 주차장
2899706,공유) 05-23구역(구),금천구 독산동 924-4,2899706,37.46784026351476,126.90493803304122,1,100,,,,5,2023-10-26T01:31:35.000Z,NS,노상 주차장
2900440,홍은2동 제3공영주차장(구),서대문구 홍은동 265-26,2900440,37.586667,126.934185,54,150,150,5,20000,5,2025-07-18T09:26:02.000Z,NW,노외 주차장
2900611,공유) 06-06구역(구),금천구 독산동 987-7,2900611,37.47351512659641,126.89979055652385,1,100,0,0,0,5,2023-10-26T07:09:05.000Z,NS,노상 주차장
2900621,공유) 06-02구역(구),금천구 독산동 997-17,2900621,37.47496808039301,126.90317523346967,1,100,,,,5,2023-10-26T06:50:23.000Z,NS,노상 주차장
2900624,공유) 12-02구역(구),금천구 시흥동 861-41,2900624,37.46112287515271,126.90316001447914,1,100,,,,5,2023-12-01T09:28:52.000Z,NS,노상 주차장
2900889,공유) 11-13구역(구),금천구 시흥동 220-4,2900889,37.45241673336456,126.91196510260963,1,100,,,,5,2023-11-30T07:51:59.000Z,NS,노상 주차장
2900898,동우주차장(시),성동구 행당동 32-1,2900898,37.56017914,127.03146521,8,,,,,,2023-06-28T06:13:51.000Z,NW,노외 주차장
2902032,공유) 05-99구역(구),금천구 독산동 198-2,2902032,37.470672604758335,126.90048086960475,1,100,,,,5,2023-10-26T06:30:52.000Z,NS,노상 주차장
2903423,공유) 05-22구역(구),금천구 독산동 940-11,2903423,37.467914355496404,126.906331585531,1,100,,,,5,2023-10-26T01:28:58.000Z,NS,노상 주차장
2903657,공유) 08-02구역(구),금천구 시흥동 237-5,2903657,37.45186156394088,126.91464258498252,1,100,,,,5,2023-10-27T02:17:59.000Z,NS,노상 주차장
2905110,공유) 11-08구역(구),금천구 시흥동 208-3,2905110,37.45384688626167,126.9098974114469,1,100,,,,5,2023-11-02T08:57:08.000Z,NS,노상 주차장
2905746,공유) 11-28구역(구),금천구 시흥동 704-54,2905746,37.44848078165252,126.91088868369164,1,100,0,0,0,5,2023-11-30T08:26:20.000Z,NS,노상 주차장
2905756,공유) 05-07구역(구),금천구 독산동 195-10,2905756,37.469483933723644,126.901951891161,1,100,,,,5,2023-10-25T07:24:53.000Z,NS,노상 주차장
2905772,공유) 11-00구역(구),금천구 시흥동 917-5,2905772,37.449845,126.908831,30,100,100,5,,5,2023-11-02T08:43:36.000Z,NW,노외 주차장
2905956,공유) 05-14구역(구),금천구 독산동 189-36,2905956,37.47023355607979,126.90406551240493,1,100,,,,5,2023-10-25T08:08:54.000Z,NS,노상 주차장
2905967,공유) 05-27구역(구),"금천구 독산동 189-36 ",2905967,37.47023355607979,126.90406551240493,1,100,,,,5,2023-10-26T06:15:20.000Z,NS,노상 주차장
2906573,공유) 03-20구역(구),금천구 독산동 1082-40,2906573,37.46550019748795,126.90115061132587,1,100,,,,5,2023-10-20T09:11:23.000Z,NS,노상 주차장
2907500,성수동2가 277-123 노상주차장(구),"성동구 성수동2가 314-20 ",2907500,37.543530224949954,127.05455980945669,1,250,250,5,,5,2023-07-24T01:02:06.000Z,NS,노상 주차장
2911603,창2동 4공영주차장(구),도봉구 창동 582-22,2911603,37.6412604076222,127.03627844583738,82,100,100,5,,5,2024-01-17T02:16:19.000Z,NW,노외 주차장
2912065,성수동2가 277-123 노상주차장(구),성동구 성수동2가 277-123,2912065,37.54478552982016,127.06093560279274,1,250,250,5,10000,5,2023-07-24T01:01:02.000Z,NS,노상 주차장
2915953,간송옛집  공영주차장(구),도봉구 방학동 58-10,2915953,37.665246,127.027521,15,0,0,0,0,0,2023-07-24T23:34:10.000Z,NW,노외 주차장
2921565,동작주차공원 주차장(구),동작구 동작동 326-0,2921565,37.50239843778292,126.97789663964242,147,100,,,70000,5,2023-07-07T03:01:54.000Z,NW,노외 주차장
2921874,공유) 10-18구역(구),금천구 시흥동 1000-18,2921874,37.460103890121616,126.9062589304445,1,100,,,,5,2023-11-02T07:19:10.000Z,NS,노상 주차장
2923483,공유) 12-16구역(구),"금천구 시흥동 872-8 ",2923483,37.45740632302629,126.90191440293029,1,100,0,0,0,5,2023-12-01T10:23:40.000Z,NS,노상 주차장
2923494,공유) 12-18구역(구),"금천구 독산동 1082-57 ",2923494,37.46011049437705,126.90171184748313,1,100,,,,5,2023-12-01T10:29:31.000Z,NS,노상 주차장
2924445,유진상가/인왕시장 앞(구),"서대문구 홍제동 294-46 ",2924445,37.59118137466461,126.94191413696208,1,250,250,5,,5,2023-07-05T06:47:18.000Z,NS,노상 주차장
2927712,성수동2가 278-50 노상주차장(구),성동구 성수동2가 278-50,2927712,37.54623355895136,127.06109055076999,1,250,250,5,,5,2023-07-24T01:06:44.000Z,NS,노상 주차장
2927879,연광초교 지하 공영주차장(구),은평구 불광동 400-6,2927879,37.6238768682208,126.92417184701642,51,100,100,5,0,5,2025-06-19T09:38:06.000Z,NW,노외 주차장
2927880,연신중학교지하 공영주차장(구),은평구 불광동 400-4,2927880,37.62328843160539,126.92510598142334,53,100,100,5,0,5,2025-06-19T09:44:10.000Z,NW,노외 주차장
2928191,동교노상공영주차장(구),마포구 동교동 166-11,2928191,37.55678891095425,126.92470582802824,1,500,500,5,0,5,2023-07-25T01:08:02.000Z,NS,노상 주차장
2929768,동교3공영주차장(구),마포구 서교동 348-82,2929768,37.556659222935195,126.92727051816179,1,500,500,5,,5,2023-07-25T00:59:51.000Z,NS,노상 주차장
2931431,뚝도시장 노상주차장(구),"성동구 성수동2가 339-44 ",2931431,37.538922014613036,127.053652379107,1,250,250,5,,5,2023-07-24T01:00:15.000Z,NS,노상 주차장
2933721,초안산꽃동산공영주차장(구),도봉구 창동 441-5,2933721,37.642227317999016,127.04213439451637,15,100,100,5,,5,2024-01-21T23:53:16.000Z,NW,노외 주차장
